#,,0=FMV,0=horizontal,,0=left,from left to right,,,,,,,,,,,,,,-1=no amp,-1=no amp,,,,,,,,,
#,,1=MRD,1=vertical,,1=right,from bottom to top,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,0=bottom,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,1=top,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEGEND_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detector_num,channel_num,detector_system,orientation,layer,side,num,x_center,y_center,z_center,x_width,y_width,z_width,rack,TDC_slot,TDC_channel,discrim_slot,discrim_ch,patch_panel_row,patch_panel_col,amp_slot,amp_channel,hv_crate,hv_slot,hv_channel,nominal_HV,polarity,PMT_type,cable_label,paddle_label,notes
########################################
DATA_START,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,68,1,1,3,1,1,-91.8,65.25,348.84,15,130.2,1.3,8,5,17,6,2,4,2,-1,-1,1,7,1,-2000,-1,-9999,MRD_x01_y01_z03,MRD_x01_y01_z03,None
69,69,1,1,3,1,2,-76.5,65.25,348.84,15,130.2,1.3,8,5,18,6,3,4,3,-1,-1,1,7,2,-2000,-1,-9999,MRD_x02_y01_z03,MRD_x02_y01_z03,None
70,70,1,1,3,1,3,-61.2,65.25,348.84,15,130.2,1.3,8,5,19,6,4,4,4,-1,-1,1,7,3,-2000,-1,-9999,MRD_x03_y01_z03,MRD_x03_y01_z03,None
71,71,1,1,3,1,4,-45.9,65.25,348.84,15,130.2,1.3,8,5,20,6,5,4,5,-1,-1,1,7,4,-2000,-1,-9999,MRD_x04_y01_z03,MRD_x04_y01_z03,None
72,72,1,1,3,1,5,-30.6,65.25,348.84,15,130.2,1.3,8,5,21,6,6,4,6,-1,-1,1,7,5,-2000,-1,-9999,MRD_x05_y01_z03,MRD_x05_y01_z03,None
73,73,1,1,3,1,6,-15.3,65.25,348.84,15,130.2,1.3,8,5,22,6,7,4,7,-1,-1,1,7,6,-2000,-1,-9999,MRD_x06_y01_z03,MRD_x06_y01_z03,None
74,74,1,1,3,1,7,0,65.25,348.84,15,130.2,1.3,8,5,23,6,8,4,8,-1,-1,1,7,7,-2000,-1,-9999,MRD_x07_y01_z03,MRD_x07_y01_z03,None
75,75,1,1,3,1,8,15.3,65.25,348.84,15,130.2,1.3,8,5,24,6,9,4,9,-1,-1,1,7,8,-2000,-1,-9999,MRD_x08_y01_z03,MRD_x08_y01_z03,None
76,76,1,1,3,1,9,30.6,65.25,348.84,15,130.2,1.3,8,5,25,6,10,4,10,-1,-1,1,7,9,-2000,-1,-9999,MRD_x09_y01_z03,MRD_x09_y01_z03,None
77,77,1,1,3,1,10,45.9,65.25,348.84,15,130.2,1.3,8,5,26,6,11,4,11,-1,-1,1,7,10,-2000,-1,-9999,MRD_x10_y01_z03,MRD_x10_y01_z03,Currently using y1 z3 spare cableNone
78,78,1,1,3,1,11,61.2,65.25,348.84,15,130.2,1.3,8,5,27,6,12,4,12,-1,-1,1,7,11,-2000,-1,-9999,MRD_x11_y01_z03,MRD_x11_y01_z03,None
79,79,1,1,3,1,12,76.5,65.25,348.84,15,130.2,1.3,8,5,28,6,13,4,13,-1,-1,1,7,12,-2000,-1,-9999,MRD_x12_y01_z03,MRD_x12_y01_z03,None
80,80,1,1,3,1,13,91.8,65.25,348.84,15,130.2,1.3,8,5,29,6,14,4,14,-1,-1,1,7,13,-2000,-1,-9999,MRD_x13_y01_z03,MRD_x13_y01_z03,None
81,81,1,1,3,1,14,107.1,65.25,348.84,15,130.2,1.3,8,5,30,6,15,4,15,-1,-1,1,7,14,-2000,-1,-9999,MRD_x14_y01_z03,MRD_x14_y01_z03,None
82,82,1,0,4,0,0,-73.75,-121.8,361.3,147.2,20,0.6,7,5,0,4,1,3,1,-1,-1,1,8,0,-2100,-1,-9999,MRD_x00_y00_z04,MRD_x00_y00_z04,None
83,83,1,0,4,0,1,-73.75,-101.5,361.3,147.2,20,0.6,7,5,1,4,2,3,2,-1,-1,1,8,1,-2100,-1,-9999,MRD_x00_y01_z04,MRD_x00_y01_z04,None
84,84,1,0,4,0,2,-73.75,-81.2,361.3,147.2,20,0.6,7,5,2,4,3,3,3,-1,-1,1,8,2,-2100,-1,-9999,MRD_x00_y02_z04,MRD_x00_y02_z04,None
85,85,1,0,4,0,3,-73.75,-60.9,361.3,147.2,20,0.6,7,5,3,4,4,3,4,-1,-1,1,8,3,-2100,-1,-9999,MRD_x00_y03_z04,MRD_x00_y03_z04,None
86,86,1,0,4,0,4,-73.75,-40.6,361.3,147.2,20,0.6,7,5,4,4,5,3,5,-1,-1,1,8,4,-2300,-1,-9999,MRD_x00_y04_z04,MRD_x00_y04_z04,None
87,87,1,0,4,0,5,-73.75,-20.3,361.3,147.2,20,0.6,7,5,5,4,6,3,6,-1,-1,1,8,5,-2100,-1,-9999,MRD_x00_y05_z04,MRD_x00_y05_z04,None
88,88,1,0,4,0,6,-73.75,0,361.3,147.2,20,0.6,7,5,6,4,7,3,7,-1,-1,1,8,6,-2100,-1,-9999,MRD_x00_y06_z04,MRD_x00_y06_z04,None
89,89,1,0,4,0,7,-73.75,20.3,361.3,147.2,20,0.6,7,5,7,4,8,3,8,-1,-1,1,8,7,-2100,-1,-9999,MRD_x00_y07_z04,MRD_x00_y07_z04,None
90,90,1,0,4,0,8,-73.75,40.6,361.3,147.2,20,0.6,7,5,8,4,9,3,9,-1,-1,1,8,8,-2100,-1,-9999,MRD_x00_y08_z04,MRD_x00_y08_z04,None
91,91,1,0,4,0,9,-73.75,60.9,361.3,147.2,20,0.6,7,5,9,4,10,3,10,-1,-1,1,8,9,-2100,-1,-9999,MRD_x00_y09_z04,MRD_x00_y09_z04,None
92,92,1,0,4,0,10,-73.75,81.2,361.3,147.2,20,0.6,7,5,10,4,11,3,11,-1,-1,1,8,10,-2100,-1,-9999,MRD_x00_y10_z04,MRD_x00_y10_z04,None
93,93,1,0,4,0,11,-73.75,101.5,361.3,147.2,20,0.6,7,5,11,4,12,3,12,-1,-1,1,8,11,-2100,-1,-9999,MRD_x00_y11_z04,MRD_x00_y11_z04,None
94,94,1,0,4,0,12,-73.75,121.8,361.3,147.2,20,0.6,7,5,12,4,13,3,13,-1,-1,1,8,12,-2300,-1,-9999,MRD_x00_y12_z04,MRD_x00_y12_z04,None
95,95,1,0,4,1,0,73.75,-121.8,361.3,147.2,20,0.6,7,5,16,6,1,4,1,-1,-1,1,9,0,-2100,-1,-9999,MRD_x01_y00_z04,MRD_x01_y00_z04,None
96,96,1,0,4,1,1,73.75,-101.5,361.3,147.2,20,0.6,7,5,17,6,2,4,2,-1,-1,1,9,1,-2100,-1,-9999,MRD_x01_y01_z04,MRD_x01_y01_z04,None
97,97,1,0,4,1,2,73.75,-81.2,361.3,147.2,20,0.6,7,5,18,6,3,4,3,-1,-1,1,9,2,-2300,-1,-9999,MRD_x01_y02_z04,MRD_x01_y02_z04,None
98,98,1,0,4,1,3,73.75,-60.9,361.3,147.2,20,0.6,7,5,19,6,4,4,4,-1,-1,1,9,3,-2300,-1,-9999,MRD_x01_y03_z04,MRD_x01_y03_z04,None
99,99,1,0,4,1,4,73.75,-40.6,361.3,147.2,20,0.6,7,5,20,6,5,4,5,-1,-1,1,9,4,-2100,-1,-9999,MRD_x01_y04_z04,MRD_x01_y04_z04,None
100,100,1,0,4,1,5,73.75,-20.3,361.3,147.2,20,0.6,7,5,21,6,6,4,6,-1,-1,1,9,5,-2100,-1,-9999,MRD_x01_y05_z04,MRD_x01_y05_z04,None
101,101,1,0,4,1,6,73.75,0,361.3,147.2,20,0.6,7,5,22,6,7,4,7,-1,-1,1,9,6,-2100,-1,-9999,MRD_x01_y06_z04,MRD_x01_y06_z04,None
102,102,1,0,4,1,7,73.75,20.3,361.3,147.2,20,0.6,7,5,23,6,8,4,8,-1,-1,1,9,7,-2100,-1,-9999,MRD_x01_y07_z04,MRD_x01_y07_z04,None
103,103,1,0,4,1,8,73.75,40.6,361.3,147.2,20,0.6,7,5,24,6,9,4,9,-1,-1,1,9,8,-2100,-1,-9999,MRD_x01_y08_z04,MRD_x01_y08_z04,None
104,104,1,0,4,1,9,73.75,60.9,361.3,147.2,20,0.6,7,5,25,6,10,4,10,-1,-1,1,9,9,-2100,-1,-9999,MRD_x01_y09_z04,MRD_x01_y09_z04,None
105,105,1,0,4,1,10,73.75,81.2,361.3,147.2,20,0.6,7,5,26,6,11,4,11,-1,-1,1,9,10,-2100,-1,-9999,MRD_x01_y10_z04,MRD_x01_y10_z04,None
106,106,1,0,4,1,11,73.75,101.5,361.3,147.2,20,0.6,7,5,27,6,12,4,12,-1,-1,1,9,11,-2100,-1,-9999,MRD_x01_y11_z04,MRD_x01_y11_z04,None
107,107,1,0,4,1,12,73.75,121.8,361.3,147.2,20,0.6,7,5,28,6,13,4,13,-1,-1,1,9,12,-2100,-1,-9999,MRD_x01_y12_z04,MRD_x01_y12_z04,None
108,108,1,1,5,0,0,-122.4,-65.25,373.76,15,130.2,1.3,8,8,0,7,1,5,1,-1,-1,1,10,0,-2200,-1,-9999,MRD_x00_y00_z05,MRD_x00_y00_z05,None
109,109,1,1,5,0,1,-107.1,-65.25,373.76,15,130.2,1.3,8,8,1,7,2,5,2,-1,-1,1,10,1,-2200,-1,-9999,MRD_x01_y00_z05,MRD_x01_y00_z05,None
110,110,1,1,5,0,2,-91.8,-65.25,373.76,15,130.2,1.3,8,8,2,7,3,5,3,-1,-1,1,10,2,-2000,-1,-9999,MRD_x02_y00_z05,MRD_x02_y00_z05,None
111,111,1,1,5,0,3,-76.5,-65.25,373.76,15,130.2,1.3,8,8,3,7,4,5,4,-1,-1,1,10,3,-1500,-1,-9999,MRD_x03_y00_z05,MRD_x03_y00_z05,None
112,112,1,1,5,0,4,-61.2,-65.25,373.76,15,130.2,1.3,8,8,4,7,5,5,5,-1,-1,1,10,4,-2000,-1,-9999,MRD_x04_y00_z05,MRD_x04_y00_z05,None
113,113,1,1,5,0,5,-45.9,-65.25,373.76,15,130.2,1.3,8,8,5,7,6,5,6,-1,-1,1,10,5,-2000,-1,-9999,MRD_x05_y00_z05,MRD_x05_y00_z05,None
114,114,1,1,5,0,6,-30.6,-65.25,373.76,15,130.2,1.3,8,8,6,7,7,5,7,-1,-1,1,10,6,-2000,-1,-9999,MRD_x06_y00_z05,MRD_x06_y00_z05,None
